"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",""TIME"",""Value"",""Flag Codes"""
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2000"",41.12131,"
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2001"",40.41459,"
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2002"",38.69263,"
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2003"",35.58611,"
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2004"",32.14331,"
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2005"",29.98446,"
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2006"",29.25673,"
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2007"",28.03118,"
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2008"",29.9901,"
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2009"",38.68695,"
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2010"",41.91847,"
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2011"",46.31153,"
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2012"",59.24876,"
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2013"",55.76767,"
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2014"",61.62906,"
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2015"",64.27708,"
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2016"",68.64424,"
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2017"",65.7194,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2000"",71.06709,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2001"",72.1219,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2002"",74.03432,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2003"",72.54121,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2004"",71.77602,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2005"",76.25182,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2006"",72.68636,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2007"",68.96463,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2008"",74.19278,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2009"",86.33044,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2010"",90.54397,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2011"",91.4737,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2012"",97.33756,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2013"",94.3597,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2014"",101.8692,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2015"",100.7969,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2016"",101.3391,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2017"",94.91287,"
"BEL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2000"",120.5397,"
"BEL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2001"",119.2406,"
"BEL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2002"",118.4241,"
"BEL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2003"",114.8479,"
"BEL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2004"",110.4701,"
